,bi_allequity_pct,bi_wilshire_pct,bi_spx_proxy,cape,qratio,ey_deficit,mean_reversion,crestmont
1946-12-31,,,,11.372779425862701,0.45768284594796727,-24.67979343670533,230.77454732558144,12.747023935602073
1947-01-31,,,,11.46929633473557,0.45768284594796727,-24.60079883881508,231.9947696511628,12.851000844032912
1947-02-28,,,,11.949565314209433,0.45768284594796727,-24.887202297785073,240.9939093023256,13.380663493228472
1947-03-31,,,,11.28790309650128,,-26.249505805475607,227.00871278538816,12.628964416772133
1947-04-30,59.8999029461598,,61.25106140896045,10.900825126392673,,-25.897856617232527,218.6231666666667,12.180935170492432
1947-05-31,59.8999029461598,,60.70492711656231,10.733674273688534,,-25.381519297028824,214.72987739726028,11.976993511419641
1947-06-30,,,63.897712210582206,11.08271585505209,,-24.34095124345069,221.206895,12.347482162582759
1947-07-31,,,65.45351544943955,11.696446553354361,,-18.32581729777931,232.95184718468468,13.010130295429494
1947-08-31,,,63.62613303841459,11.337472355329826,,-17.845613446747254,225.32761044444447,12.590892106643526
1947-09-30,,,62.753973251334486,10.827463017228828,,-19.604205241356368,214.72597108695652,12.004651462662888
1947-10-31,,,63.15428447387265,11.132662042754779,,-17.16700061461819,220.2866038043478,12.319135185506306
1947-11-30,,,61.312455049812854,10.975407324839065,,-15.153650049165362,216.7776464285714,12.124729128196636
1947-12-31,,,62.622200418033145,10.680912531969184,0.38287920200625547,-15.775538555430607,210.63501250000002,11.781983916549676
1948-01-31,,,57.73434366682026,10.41934265732032,0.38287920200625547,-17.390092579938653,205.20136466244728,11.47792890324453
1948-02-29,,,54.784700768311055,9.999761169144174,0.38287920200625547,-16.873397751288657,196.76085,11.003798513670992
1948-03-31,55.38393424320006,,59.307486546025174,10.186680609489667,,-14.24772222536842,200.4045694444445,11.203431873930176
1948-04-30,54.13408493952782,,59.50673619546925,10.779484482024609,,-15.545180570910189,212.19307352941178,11.856818615319389
1948-05-31,54.13408493952782,,64.15810637009805,11.241032697984426,,-15.631733241345595,221.5960758368201,12.376854223766022
1948-06-30,,,64.35030774626325,11.583895756523829,,-15.792295581940358,228.87396244813277,12.772969374543802
1948-07-31,,,59.403408657058776,11.134621739180922,,-16.515906511538155,220.68395881147543,12.302997034897457
1948-08-31,,,59.85315055225418,10.723556662478122,,-15.849986511625506,213.35836387755103,11.879332281474309
1948-09-30,,,58.054182971472585,10.553013689399151,,-13.644371899604788,210.94904734693878,11.727140294909532
1948-10-31,,,60.371244153970835,10.825409809169482,,-12.981982099320177,217.5927705942623,12.074482173533918
1948-11-30,,,53.96823341036788,10.24809620563556,,-12.188148051724308,207.19513750000002,11.473125833287487
1948-12-31,,,55.61472188729435,10.159652938900907,0.3471173416713371,-10.513475570756604,206.6941432572614,11.418615918278945
1949-01-31,,,55.45550705828449,10.24828575803897,0.3471173416713371,-8.713552258889045,209.87824,11.565025480835821
1949-02-28,,,53.26935040684094,9.872517140570054,0.3471173416713371,-9.09489144461714,203.51244779411766,11.184180955470634
1949-03-31,51.02758537055136,,54.87253195123288,9.901332491240913,,-9.497385780498256,205.44147573529412,11.258011495765613
1949-04-30,52.01684155413513,,54.636347853447795,9.783639867544052,,-8.328812892041727,204.30746558577408,11.163641389292616
1949-05-31,52.01684155413513,,52.704947385480914,9.692295086395808,,-7.58573036129505,203.65023550420167,11.094279485489645
1949-06-30,,,52.5935204354059,9.067718943419527,,-7.88408965509166,191.68403587866112,10.410750965846693
1949-07-31,,,56.62025013057406,9.605038093363916,,-5.2273503938998935,204.23278101265825,11.057810986807405
1949-08-31,,,57.29788610288146,9.851348638079223,,-4.9779182376695985,210.67740871848738,11.371341539730425
